trs_path,tst_path,metaheuristic,Fitness,initial_sol,init_cls,init_rd,init_score,result_sol,result_cls,result_rd,result_score,time,,,Classification,Reduction,Time,,
../data/small/glass/glass-10-1tra.dat,../data/small/glass/glass-10-1tst.dat,grasp,eul,98,0.608696,0.484211,0.312276,12,0.565217,0.936842,0.643347,57.28,,AVG,0.934287,0.6670936,55.502,,
../data/small/glass/glass-10-2tra.dat,../data/small/glass/glass-10-2tst.dat,grasp,eul,103,0.608696,0.457895,0.303924,16,0.565217,0.915789,0.625982,53.91,,MIN,0.565217,0.915789,,,
../data/small/glass/glass-10-3tra.dat,../data/small/glass/glass-10-3tst.dat,grasp,eul,92,0.73913,0.518325,0.417433,11,0.73913,0.942408,0.872596,70.53,,MAX,0.85,0.948187,,,
../data/small/glass/glass-10-4tra.dat,../data/small/glass/glass-10-4tst.dat,grasp,eul,102,0.681818,0.46875,0.35441,16,0.636364,0.916667,0.707971,48.9,,AVG,0.9637954,0.9533332,23.51,,
../data/small/glass/glass-10-5tra.dat,../data/small/glass/glass-10-5tst.dat,grasp,eul,98,0.681818,0.486911,0.361475,10,0.727273,0.947644,0.861844,58.18,,MIN,,,,,
../data/small/glass/glass-10-6tra.dat,../data/small/glass/glass-10-6tst.dat,grasp,eul,96,0.681818,0.497382,0.365595,14,0.590909,0.926702,0.663855,53.02,,MAX,,,,,
../data/small/glass/glass-10-7tra.dat,../data/small/glass/glass-10-7tst.dat,grasp,eul,102,0.666667,0.46875,0.344268,11,0.619048,0.942708,0.711888,52.5,,AVG,0.9923842,0.9933356,71.758,,
../data/small/glass/glass-10-8tra.dat,../data/small/glass/glass-10-8tst.dat,grasp,eul,96,0.8,0.502591,0.459129,14,0.85,0.927461,1.02441,61.71,,MIN,,,,,
../data/small/glass/glass-10-9tra.dat,../data/small/glass/glass-10-9tst.dat,grasp,eul,98,0.75,0.492228,0.413676,10,0.6,0.948187,0.693813,48.36,,MAX,,,,,
../data/small/glass/glass-10-10tra.dat,../data/small/glass/glass-10-10tst.dat,grasp,eul,101,0.777778,0.482051,0.430381,12,0.777778,0.938462,0.925245,50.63,,AVG,0.9903054,0.7293323,46.039,,
../data/small/iris/iris-10-1tra.dat,../data/small/iris/iris-10-1tst.dat,grasp,eul,28,0.933333,0.789474,0.831404,6,0.933333,0.954887,1.22403,20.46,,MIN,,,,,
../data/small/iris/iris-10-2tra.dat,../data/small/iris/iris-10-2tst.dat,grasp,eul,28,0.933333,0.787879,0.829805,4,0.866667,0.969697,1.12328,24.09,,MAX,,,,,
../data/small/iris/iris-10-3tra.dat,../data/small/iris/iris-10-3tst.dat,grasp,eul,31,1,0.765152,0.918485,3,1,0.977273,1.41425,25.03,,,,,,,
../data/small/iris/iris-10-4tra.dat,../data/small/iris/iris-10-4tst.dat,grasp,eul,28,0.933333,0.789474,0.831404,6,0.933333,0.954887,1.22403,25.63,,,,,,,
../data/small/iris/iris-10-5tra.dat,../data/small/iris/iris-10-5tst.dat,grasp,eul,30,0.933333,0.772727,0.814744,6,1,0.954545,1.36216,22.12,,,,,,,
../data/small/iris/iris-10-6tra.dat,../data/small/iris/iris-10-6tst.dat,grasp,eul,26,0.933333,0.80303,0.845103,3,0.933333,0.977273,1.2685,23.95,,,,,,,
../data/small/iris/iris-10-7tra.dat,../data/small/iris/iris-10-7tst.dat,grasp,eul,30,0.933333,0.774436,0.816431,6,0.933333,0.954887,1.22403,23.66,,,,,,,
../data/small/iris/iris-10-8tra.dat,../data/small/iris/iris-10-8tst.dat,grasp,eul,29,1,0.780303,0.936269,6,1,0.954545,1.36216,26.02,,,,,,,
../data/small/iris/iris-10-9tra.dat,../data/small/iris/iris-10-9tst.dat,grasp,eul,31,1,0.768657,0.922573,5,1,0.962687,1.38062,21.28,,,,,,,
../data/small/iris/iris-10-10tra.dat,../data/small/iris/iris-10-10tst.dat,grasp,eul,29,0.933333,0.780303,0.822245,3,0.933333,0.977273,1.2685,22.86,,,,,,,
../data/medium/australian/australian-10-1tra.dat,../data/medium/australian/australian-10-1tst.dat,grasp,eul,377,0.623188,0.392915,0.291972,6,0.666667,0.990338,0.82457,52.21,,,,,,,
../data/medium/australian/australian-10-2tra.dat,../data/medium/australian/australian-10-2tst.dat,grasp,eul,369,0.565217,0.405797,0.264247,4,0.681159,0.993559,0.84938,61.48,,,,0.936842,0.954887,0.994141,0.992764
../data/medium/australian/australian-10-3tra.dat,../data/medium/australian/australian-10-3tst.dat,grasp,eul,387,0.550725,0.376812,0.249268,7,0.753623,0.988728,0.95578,60.26,,,,0.915789,0.969697,0.992188,0.982609
../data/medium/australian/australian-10-4tra.dat,../data/medium/australian/australian-10-4tst.dat,grasp,eul,383,0.623188,0.383253,0.288966,7,0.652174,0.988728,0.802217,50.79,,,,0.942408,0.977273,0.994141,0.986994
../data/medium/australian/australian-10-5tra.dat,../data/medium/australian/australian-10-5tst.dat,grasp,eul,380,0.42029,0.388084,0.191533,6,0.666667,0.990338,0.82457,59.07,,,,0.916667,0.954887,0.992188,0.991317
../data/medium/australian/australian-10-6tra.dat,../data/medium/australian/australian-10-6tst.dat,grasp,eul,377,0.695652,0.392915,0.33437,6,0.73913,0.990338,0.934538,48.79,,,,0.947644,0.954545,0.992188,0.991317
../data/medium/australian/australian-10-7tra.dat,../data/medium/australian/australian-10-7tst.dat,grasp,eul,385,0.623188,0.380032,0.287969,3,0.710145,0.995169,0.895154,49.47,,,,0.926702,0.977273,0.986328,0.988439
../data/medium/australian/australian-10-8tra.dat,../data/medium/australian/australian-10-8tst.dat,grasp,eul,389,0.57971,0.373591,0.26305,7,0.73913,0.988728,0.932397,55.72,,,,0.942708,0.954887,0.994141,0.994211
../data/medium/australian/australian-10-9tra.dat,../data/medium/australian/australian-10-9tst.dat,grasp,eul,391,0.666667,0.37037,0.309108,3,0.73913,0.995169,0.940988,50.08,,,,0.927461,0.954545,0.994141,0.99711
../data/medium/australian/australian-10-10tra.dat,../data/medium/australian/australian-10-10tst.dat,grasp,eul,381,0.550725,0.386473,0.251721,9,0.666667,0.985507,0.819151,48.99,,,,0.948187,0.962687,0.990234,0.988423
../data/medium/wdbc/wdbc-10-1tra.dat,../data/medium/wdbc/wdbc-10-1tst.dat,grasp,eul,139,0.929825,0.728516,0.766925,3,0.912281,0.994141,1.25829,71.73,,,,0.938462,0.977273,0.994152,0.98987
../data/medium/wdbc/wdbc-10-2tra.dat,../data/medium/wdbc/wdbc-10-2tst.dat,grasp,eul,131,0.947368,0.744141,0.808594,4,0.964912,0.992188,1.36834,71.77,,,,,,,
../data/medium/wdbc/wdbc-10-3tra.dat,../data/medium/wdbc/wdbc-10-3tst.dat,grasp,eul,133,0.877193,0.740234,0.702039,3,0.947368,0.994141,1.33353,72.87,,,,,,,
../data/medium/wdbc/wdbc-10-4tra.dat,../data/medium/wdbc/wdbc-10-4tst.dat,grasp,eul,132,0.929825,0.742188,0.779781,4,0.929825,0.992188,1.29142,65.13,,,,,,,
../data/medium/wdbc/wdbc-10-5tra.dat,../data/medium/wdbc/wdbc-10-5tst.dat,grasp,eul,125,0.877193,0.755859,0.714989,4,0.859649,0.992188,1.14914,73.23,,,,,,,
../data/medium/wdbc/wdbc-10-6tra.dat,../data/medium/wdbc/wdbc-10-6tst.dat,grasp,eul,140,0.947368,0.726562,0.791295,7,1,0.986328,1.4355,77.53,,,,,,,
../data/medium/wdbc/wdbc-10-7tra.dat,../data/medium/wdbc/wdbc-10-7tst.dat,grasp,eul,139,0.947368,0.728516,0.793202,3,0.947368,0.994141,1.33353,73.06,,,,,,,
../data/medium/wdbc/wdbc-10-8tra.dat,../data/medium/wdbc/wdbc-10-8tst.dat,grasp,eul,133,0.929825,0.740234,0.777933,3,0.912281,0.994141,1.25829,68.07,,,,,,,
../data/medium/wdbc/wdbc-10-9tra.dat,../data/medium/wdbc/wdbc-10-9tst.dat,grasp,eul,126,0.877193,0.753906,0.71336,5,0.894737,0.990234,1.21472,75.3,,,,,,,
../data/medium/wdbc/wdbc-10-10tra.dat,../data/medium/wdbc/wdbc-10-10tst.dat,grasp,eul,131,0.892857,0.744639,0.727731,3,0.928571,0.994152,1.29276,68.89,,,,,,,
../data/medium/pima/pima-10-1tra.dat,../data/medium/pima/pima-10-1tst.dat,grasp,eul,392,0.649351,0.432706,0.320338,5,0.636364,0.992764,0.784535,46.06,,,,,,,
../data/medium/pima/pima-10-2tra.dat,../data/medium/pima/pima-10-2tst.dat,grasp,eul,390,0.705128,0.434783,0.356667,12,0.75641,0.982609,0.95191,45.94,,,,,,,
